customerID,Churn,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,Contas_Diarias
0023-HGHWL,yes,Month-to-month,Yes,Electronic check,25.1,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,0.8366666666666667
0023-UYUPN,no,One year,No,Electronic check,25.2,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.84
0023-XUOPT,yes,Month-to-month,No,Electronic check,94.1,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,3.1366666666666663
0027-KWYKW,no,Month-to-month,Yes,Electronic check,83.75,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,2.7916666666666665
0030-FNXPP,no,Month-to-month,No,Mailed check,19.85,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667
0031-PVLZI,yes,Month-to-month,No,Mailed check,20.35,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6783333333333333
0032-PGELS,yes,Month-to-month,No,Bank transfer (automatic),30.5,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,1.0166666666666666
0036-IHMOT,no,One year,Yes,Bank transfer (automatic),103.7,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.4566666666666666
0040-HALCW,no,Two year,No,Credit card (automatic),20.4,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6799999999999999
0042-JVWOJ,no,One year,Yes,Bank transfer (automatic),19.6,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6533333333333334
0042-RLHYP,no,Two year,No,Bank transfer (automatic),19.7,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666
0047-ZHDTW,,Month-to-month,Yes,Bank transfer (automatic),79.0,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,2.6333333333333333
0048-LUMLS,no,One year,No,Credit card (automatic),91.2,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,3.04
0048-PIHNL,no,One year,No,Bank transfer (automatic),20.45,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6816666666666666
0052-DCKON,no,One year,No,Bank transfer (automatic),115.8,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.86
0052-YNYOT,no,One year,No,Electronic check,20.55,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.685
0056-EPFBG,no,Two year,Yes,Credit card (automatic),39.4,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,1.3133333333333332
0057-QBUQH,no,Two year,Yes,Electronic check,25.1,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8366666666666667
0058-EVZWM,no,Month-to-month,Yes,Bank transfer (automatic),89.8,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,2.993333333333333
0060-FUALY,no,Month-to-month,Yes,Electronic check,94.75,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,3.158333333333333
0064-SUDOG,no,Two year,No,Bank transfer (automatic),20.3,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6766666666666666
0064-YIJGF,no,Month-to-month,Yes,Bank transfer (automatic),75.75,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.525
0067-DKWBL,yes,Month-to-month,Yes,Electronic check,49.25,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,1.6416666666666666
0068-FIGTF,no,One year,No,Mailed check,78.2,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,2.606666666666667
0071-NDAFP,no,Two year,No,Credit card (automatic),25.5,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.85
0074-HDKDG,no,One year,Yes,Bank transfer (automatic),61.6,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,2.0533333333333332
0076-LVEPS,no,Month-to-month,Yes,Mailed check,45.0,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,1.5
0078-XZMHT,no,Two year,Yes,Bank transfer (automatic),85.15,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,2.8383333333333334
0080-EMYVY,no,One year,No,Credit card (automatic),51.45,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,1.715
0080-OROZO,no,One year,Yes,Electronic check,99.25,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.308333333333333
0082-LDZUE,no,Month-to-month,Yes,Mailed check,44.3,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,1.4766666666666666
0082-OQIQY,no,Month-to-month,Yes,Electronic check,94.2,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,3.14
0083-PIVIK,no,One year,No,Electronic check,81.25,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,2.7083333333333335
0089-IIQKO,no,Month-to-month,Yes,Credit card (automatic),99.95,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,3.3316666666666666
0093-EXYQL,no,Month-to-month,Yes,Electronic check,91.55,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,3.0516666666666667
0093-XWZFY,yes,Month-to-month,Yes,Credit card (automatic),104.5,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.4833333333333334
0094-OIFMO,yes,Month-to-month,Yes,Electronic check,95.0,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,3.1666666666666665
0096-BXERS,no,Month-to-month,No,Electronic check,50.35,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,1.6783333333333335
0096-FCPUF,no,Month-to-month,Yes,Mailed check,64.5,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,2.15
0098-BOWSO,no,Month-to-month,Yes,Electronic check,19.4,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6466666666666666
0100-DUVFC,no,One year,Yes,Electronic check,104.8,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.493333333333333
0103-CSITQ,no,One year,Yes,Bank transfer (automatic),109.4,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.646666666666667
0104-PPXDV,no,One year,No,Credit card (automatic),50.3,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,1.6766666666666665
0106-GHRQR,no,Month-to-month,Yes,Bank transfer (automatic),71.4,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,2.3800000000000003
0106-UGRDO,no,Two year,Yes,Electronic check,116.0,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8666666666666667
0107-WESLM,yes,Month-to-month,Yes,Electronic check,19.85,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667
0107-YHINA,yes,Month-to-month,Yes,Electronic check,99.75,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,3.325
0111-KLBQG,no,Month-to-month,Yes,Mailed check,93.95,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,3.131666666666667
0112-QAWRZ,no,Month-to-month,Yes,Bank transfer (automatic),90.8,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,3.0266666666666664
0112-QWPNC,yes,One year,No,Electronic check,84.35,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,2.8116666666666665
0114-IGABW,no,Two year,No,Bank transfer (automatic),58.25,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,1.9416666666666667
0114-PEGZZ,no,Month-to-month,No,Electronic check,107.55,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.585
0114-RSRRW,no,Month-to-month,Yes,Bank transfer (automatic),19.95,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999
0115-TFERT,yes,Month-to-month,Yes,Electronic check,111.2,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.7066666666666666
0117-LFRMW,yes,Month-to-month,No,Bank transfer (automatic),40.2,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,1.34
0118-JPNOY,no,Month-to-month,Yes,Credit card (automatic),85.8,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,2.86
0120-YZLQA,,Two year,Yes,Credit card (automatic),19.9,Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6633333333333333
0121-SNYRK,no,One year,Yes,Mailed check,35.4,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.18
0122-OAHPZ,yes,Month-to-month,Yes,Electronic check,73.85,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.4616666666666664
0123-CRBRT,no,Two year,No,Mailed check,88.1,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.9366666666666665
0125-LZQXK,yes,Month-to-month,Yes,Electronic check,101.35,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.378333333333333
0128-MKWSG,no,Month-to-month,No,Mailed check,45.8,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,1.5266666666666666
0129-KPTWJ,no,Month-to-month,Yes,Electronic check,94.65,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,3.1550000000000002
0129-QMPDR,no,One year,Yes,Bank transfer (automatic),20.5,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6833333333333333
0130-SXOUN,no,Month-to-month,No,Credit card (automatic),89.4,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,2.98
0133-BMFZO,yes,Month-to-month,Yes,Electronic check,86.25,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,2.875
0134-XWXCE,no,One year,No,Bank transfer (automatic),74.85,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,2.4949999999999997
0135-NMXAP,yes,Month-to-month,Yes,Bank transfer (automatic),89.75,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,2.9916666666666667
0136-IFMYD,no,Two year,Yes,Electronic check,109.95,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.665
0137-OCGAB,yes,Month-to-month,Yes,Mailed check,80.2,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2.6733333333333333
0137-UDEUO,yes,Month-to-month,No,Mailed check,19.85,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6616666666666667
0139-IVFJG,no,Month-to-month,No,Electronic check,90.35,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,3.0116666666666663
0141-YEAYS,no,Month-to-month,Yes,Bank transfer (automatic),86.45,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.881666666666667
0142-GVYSN,no,Month-to-month,Yes,Electronic check,20.3,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6766666666666666
0147-ESWWR,no,Month-to-month,Yes,Electronic check,101.25,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,3.375
0148-DCDOS,yes,Month-to-month,Yes,Bank transfer (automatic),94.7,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.1566666666666667
0151-ONTOV,yes,Month-to-month,No,Mailed check,70.9,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,2.3633333333333337
0154-QYHJU,,One year,Yes,Electronic check,58.75,Male,0,No,No,29,Yes,No,DSL,Yes,Yes,No,Yes,No,No,1.9583333333333333
0156-FVPTA,yes,Month-to-month,Yes,Electronic check,54.2,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,1.8066666666666669
0162-RZGMZ,,Month-to-month,No,Credit card (automatic),59.9,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,1.9966666666666666
0164-APGRB,no,Two year,Yes,Electronic check,114.9,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.83
0164-XAIRP,no,Two year,Yes,Bank transfer (automatic),19.55,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6516666666666667
0168-XZKBB,no,Month-to-month,Yes,Electronic check,86.85,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,2.895
0174-QRVVY,no,Two year,No,Credit card (automatic),25.35,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8450000000000001
0177-PXBAT,no,Month-to-month,Yes,Bank transfer (automatic),109.9,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.6633333333333336
0178-CIIKR,no,Month-to-month,No,Mailed check,19.95,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999
0178-SZBHO,no,Month-to-month,No,Electronic check,87.2,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,2.9066666666666667
0181-RITDD,no,Two year,No,Mailed check,108.15,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.605
0186-CAERR,no,One year,Yes,Bank transfer (automatic),116.3,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8766666666666665
0187-QSXOE,no,Month-to-month,Yes,Electronic check,89.0,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,2.966666666666667
0187-WZNAB,no,Month-to-month,No,Mailed check,74.4,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,2.48
0188-GWFLE,no,Month-to-month,No,Mailed check,20.05,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333
0191-EQUUH,no,Two year,No,Bank transfer (automatic),35.05,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.1683333333333332
0191-ZHSKZ,no,Month-to-month,Yes,Electronic check,74.75,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,2.4916666666666667
0193-ESZXP,yes,One year,Yes,Credit card (automatic),105.5,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,3.5166666666666666
0195-IESCP,yes,Month-to-month,Yes,Electronic check,85.25,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2.841666666666667
0196-JTUQI,no,Month-to-month,Yes,Credit card (automatic),75.2,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.506666666666667
0196-VULGZ,yes,Month-to-month,Yes,Electronic check,84.35,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2.8116666666666665
0197-PNKNK,no,One year,No,Bank transfer (automatic),84.45,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,2.815
0201-MIBOL,no,Two year,Yes,Bank transfer (automatic),102.4,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,3.4133333333333336
0201-OAMXR,yes,One year,No,Credit card (automatic),115.55,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8516666666666666
0203-HHYIJ,yes,One year,No,Bank transfer (automatic),25.3,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8433333333333334
0206-OYVOC,no,Two year,Yes,Mailed check,19.25,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6416666666666667
0206-TBWLC,no,One year,Yes,Mailed check,114.65,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8216666666666668
0207-MDKNV,yes,Month-to-month,No,Electronic check,105.1,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.503333333333333
0208-BPQEJ,no,Month-to-month,No,Bank transfer (automatic),19.4,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6466666666666666
0212-ISBBF,no,Month-to-month,Yes,Electronic check,50.35,Female,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,1.6783333333333335
0214-JHPFW,no,Two year,No,Bank transfer (automatic),57.8,Female,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,1.9266666666666665
0215-BQKGS,no,Month-to-month,Yes,Credit card (automatic),84.3,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,2.81
0218-QNVAS,no,One year,No,Bank transfer (automatic),100.55,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3.3516666666666666
0219-QAERP,no,One year,No,Credit card (automatic),19.8,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.66
0219-YTZUE,yes,Month-to-month,Yes,Bank transfer (automatic),84.8,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.8266666666666667
0220-EBGCE,yes,Month-to-month,Yes,Electronic check,85.85,Male,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,2.8616666666666664
0221-NAUXK,no,One year,Yes,Bank transfer (automatic),19.95,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6649999999999999
0221-WMXNQ,no,Month-to-month,No,Electronic check,75.35,Male,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,2.5116666666666663
0222-CNVPT,no,Month-to-month,Yes,Credit card (automatic),48.8,Male,1,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,1.6266666666666665
0224-HJAPT,yes,Month-to-month,No,Electronic check,47.15,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,1.5716666666666665
0224-NIJLP,no,Two year,No,Mailed check,20.15,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6716666666666666
0224-RLWWD,no,Month-to-month,Yes,Electronic check,44.3,Female,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,1.4766666666666666
0225-ZORZP,no,Month-to-month,No,Electronic check,84.3,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,2.81
0228-MAUWC,no,Month-to-month,No,Electronic check,59.55,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,1.9849999999999999
0229-LFJAF,no,Two year,No,Bank transfer (automatic),69.65,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2.3216666666666668
0230-UBYPQ,no,One year,No,Bank transfer (automatic),36.1,Male,1,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.2033333333333334
0230-WEQUW,no,Two year,Yes,Bank transfer (automatic),56.6,Male,0,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,1.8866666666666667
0231-LXVAP,yes,Month-to-month,Yes,Electronic check,75.9,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,2.5300000000000002
0233-FTHAV,no,One year,Yes,Bank transfer (automatic),79.2,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2.64
0234-TEVTT,no,One year,No,Credit card (automatic),45.0,Female,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,1.5
0235-KGSLC,yes,Month-to-month,Yes,Credit card (automatic),85.55,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,2.8516666666666666
0236-HFWSV,yes,Month-to-month,Yes,Electronic check,93.35,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.1116666666666664
0237-YFUTL,no,Month-to-month,Yes,Bank transfer (automatic),109.65,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,3.6550000000000002
0238-WHBIQ,no,Two year,No,Credit card (automatic),89.7,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2.99
0239-OXEXL,no,Month-to-month,No,Mailed check,84.25,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,2.808333333333333
0244-LGNFY,no,Two year,No,Bank transfer (automatic),92.65,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3.0883333333333334
0247-SLUJI,no,Month-to-month,No,Mailed check,19.7,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666
0248-IPDFW,no,Month-to-month,Yes,Electronic check,50.1,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,1.6700000000000002
0248-PGHBZ,no,Two year,Yes,Bank transfer (automatic),92.45,Female,1,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,3.0816666666666666
0253-ZTEOB,no,Two year,No,Electronic check,79.65,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,2.6550000000000002
0254-FNMCI,no,Two year,Yes,Electronic check,109.9,Female,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.6633333333333336
0254-KCJGT,no,One year,Yes,Credit card (automatic),81.4,Male,0,Yes,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,2.7133333333333334
0254-WWRKD,no,One year,No,Credit card (automatic),50.55,Female,0,Yes,Yes,67,Yes,No,DSL,No,Yes,No,No,No,No,1.6849999999999998
0256-LTHVJ,yes,Month-to-month,Yes,Electronic check,81.05,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,2.7016666666666667
0257-KXZGU,no,Month-to-month,No,Bank transfer (automatic),62.45,Female,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,2.0816666666666666
